Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
875,100 Block CLARK DR,15JC1655,EUREKA,,,11/21/2015 06:47:31 AM,Sunday,21,11/15/2015 09:11:09 PM,Description: Citizen Dispute,738191196,CITIZEN DISPUTE,39.9581,"{'type': 'Point', 'coordinates': [-112.113, 39.9581]}",-112.113,Community Policing,UT,11/28/2015 09:00:17 AM,
876,OLD HIGHWAY 91,15JC1658,JUAB COUNTY,,,11/19/2015 06:47:56 AM,Monday,13,11/16/2015 01:11:49 PM,Description: Traffic Accident-Injury,737841592,TRAFFIC ACCIDENT-INJURY,39.4014,"{'type': 'Point', 'coordinates': [-112.06, 39.4014]}",-112.06,Traffic,UT,11/29/2015 09:00:19 AM,
877,FIRST 91 RD,15JC1669,JUAB CO LEV GR,,,11/21/2015 06:47:31 AM,Wednesday,17,11/18/2015 05:11:46 PM,Description: Animal Problem,738191200,ANIMAL PROBLEM,39.3373,"{'type': 'Point', 'coordinates': [-112.054, 39.3373]}",-112.054,Community Policing,UT,12/01/2015 09:01:10 AM,
878,100 Block GODIVA ST,15JC1681,EUREKA,,,11/25/2015 06:47:06 AM,Saturday,12,11/21/2015 12:11:52 PM,Description: Animal Problem,738526020,ANIMAL PROBLEM,39.9569,"{'type': 'Point', 'coordinates': [-112.111, 39.9569]}",-112.111,Community Policing,UT,12/04/2015 09:00:18 AM,
879,100 Block W 200 SOUTH ST,15JC1634,LEVAN,,,11/25/2015 06:47:06 AM,Thursday,19,11/12/2015 07:11:34 PM,Description: Citizen Assist,738526023,CITIZEN ASSIST,39.5545,"{'type': 'Point', 'coordinates': [-111.866, 39.5545]}",-111.866,Community Policing,UT,11/25/2015 09:00:17 AM,
880,200 Block MAIN ST,15JC1686,EUREKA,,,11/28/2015 06:46:41 AM,Saturday,17,11/21/2015 05:11:29 PM,Description: Citizen Assist,738713283,CITIZEN ASSIST,39.9547,"{'type': 'Point', 'coordinates': [-112.119, 39.9547]}",-112.119,Community Policing,UT,12/04/2015 09:00:18 AM,
881,1000 Block SR54,15JC1687,JUAB CO MON GR,,,11/28/2015 06:46:41 AM,Saturday,20,11/21/2015 08:11:53 PM,Description: Citizen Assist,738713280,CITIZEN ASSIST,39.8214,"{'type': 'Point', 'coordinates': [-111.835, 39.8214]}",-111.835,Community Policing,UT,12/04/2015 09:00:18 AM,
882,208900 Block I15 NB,15JC1688,JUAB CO NEP GR,,,11/25/2015 06:47:06 AM,Saturday,21,11/21/2015 09:11:57 PM,Description: Traffic Accident-Injury,738526021,TRAFFIC ACCIDENT-INJURY,39.516,"{'type': 'Point', 'coordinates': [-111.963, 39.516]}",-111.963,Traffic,UT,12/04/2015 09:00:18 AM,
883,200 Block MAIN ST,15JC1712,LEVAN,,,11/30/2015 06:46:24 AM,Friday,12,11/27/2015 12:11:00 PM,Description: Citizen Assist,738886246,CITIZEN ASSIST,39.5543,"{'type': 'Point', 'coordinates': [-111.864, 39.5543]}",-111.864,Community Policing,UT,12/09/2015 09:00:15 AM,
884,100 Block W 900 SOUTH ST,15JC1711,MONA,,,11/30/2015 06:46:24 AM,Friday,12,11/27/2015 12:11:59 PM,Description: Citizen Assist,738886245,CITIZEN ASSIST,39.8036,"{'type': 'Point', 'coordinates': [-111.857, 39.8036]}",-111.857,Community Policing,UT,12/09/2015 09:00:15 AM,
885,2000 Block MAIN ST,15JC1722,NEPHI,,,12/04/2015 06:45:47 AM,Monday,6,11/30/2015 06:11:07 AM,Description: Citizen Assist,739183764,CITIZEN ASSIST,39.6792,"{'type': 'Point', 'coordinates': [-111.841, 39.6792]}",-111.841,Community Policing,UT,12/13/2015 09:00:13 AM,
