Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
2201,MARSAC AVE & HILLSIDE AVE,19-04262,PARK CITY,,,03/07/2019 10:31:44 PM,Thursday,14,03/07/2019 02:03:18 PM,Traffic Stop,909254720,TRAFFIC STOP,40.6401,"{'type': 'Point', 'coordinates': [-111.493, 40.6401]}",-111.493,Vehicle Stop,UT,03/15/2019 05:31:30 AM,
2202,2900 Block DEER VALLEY DR E,19-04265,PARK CITY,,,03/07/2019 10:31:44 PM,Thursday,14,03/07/2019 02:03:20 PM,Traffic Stop,909254723,TRAFFIC STOP,40.6455,"{'type': 'Point', 'coordinates': [-111.475, 40.6455]}",-111.475,Vehicle Stop,UT,03/15/2019 05:31:30 AM,
2203,600 Block MAIN ST,17-03158,PARK CITY,,,02/01/2017 08:35:29 AM,Sunday,17,01/22/2017 05:01:00 PM,Fraud,791283295,FRAUD,40.6461,"{'type': 'Point', 'coordinates': [-111.497, 40.6461]}",-111.497,Theft,UT,02/08/2017 10:31:50 AM,
2204,100 Block I80 WESTBOUND,18-L00689,PARK CITY,,,01/17/2018 04:41:11 PM,Wednesday,8,01/10/2018 08:01:33 AM,Traffic Stop,831793038,TRAFFIC STOP,40.7253,"{'type': 'Point', 'coordinates': [-111.511, 40.7253]}",-111.511,Vehicle Stop,UT,05/10/2018 04:16:37 PM,
2205,SR224 & N SILVER SPRINGS DR,18-L00691,PARK CITY,,,01/17/2018 04:41:11 PM,Wednesday,9,01/10/2018 09:01:13 AM,Traffic Stop,831793040,TRAFFIC STOP,40.6966,"{'type': 'Point', 'coordinates': [-111.544, 40.6966]}",-111.544,Vehicle Stop,UT,05/10/2018 04:16:37 PM,
2206,1700 Block UINTA WAY,18-L00690,PARK CITY,,,01/17/2018 04:41:11 PM,Wednesday,9,01/10/2018 09:01:19 AM,Traffic Stop,831793039,TRAFFIC STOP,40.7238,"{'type': 'Point', 'coordinates': [-111.543, 40.7238]}",-111.543,Vehicle Stop,UT,05/10/2018 04:16:37 PM,
2207,2300 Block PARK AVE,18-01985,PARK CITY,,,01/27/2018 03:31:39 AM,Friday,19,01/26/2018 07:01:00 PM,Suspicious,832636773,SUSPICIOUS,40.6672,"{'type': 'Point', 'coordinates': [-111.514, 40.6672]}",-111.514,Disorder,UT,05/10/2018 04:16:31 PM,
2208,KEARNS BLVD & PARK AVE,18-01986,PARK CITY,,,01/27/2018 03:31:39 AM,Friday,19,01/26/2018 07:01:04 PM,Traffic Stop,832636774,TRAFFIC STOP,40.6603,"{'type': 'Point', 'coordinates': [-111.509, 40.6603]}",-111.509,Vehicle Stop,UT,05/10/2018 04:16:31 PM,
2209,KEARNS BLVD & COMSTOCK DR,18-01992,PARK CITY,,,01/27/2018 03:31:39 AM,Friday,20,01/26/2018 08:01:20 PM,Traffic Stop,832636780,TRAFFIC STOP,40.668,"{'type': 'Point', 'coordinates': [-111.492, 40.668]}",-111.492,Vehicle Stop,UT,05/10/2018 04:16:31 PM,
2210,1 Block SR224,18-03600,PARK CITY,,,03/03/2018 06:57:16 PM,Saturday,10,03/03/2018 10:03:07 AM,Traffic Stop,835849908,TRAFFIC STOP,40.6363,"{'type': 'Point', 'coordinates': [-111.494, 40.6363]}",-111.494,Vehicle Stop,UT,05/10/2018 04:16:24 PM,
