column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
345,1200 Block S COMMERCE WAY,15-P00303,PERRY,,03/26/2015 09:10:24 AM,Wednesday,13,03/25/2015 01:51:54 PM,Theft,710852774,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/24/2015 12:31:17 PM,84302
346,1000 Block S SHANNON CIR,15-P00304,BRIGHAM CITY,,03/26/2015 09:10:24 AM,Wednesday,16,03/25/2015 04:22:46 PM,Child Abuse,710852775,Child Abuse,41.487935,"{'type': 'Point', 'coordinates': [-112.022964, 41.487935]}",-112.022964,Family Offense,UT,05/24/2015 12:31:17 PM,84302
347,1800 Block S 100 W,15-P00309,PERRY,,03/27/2015 09:10:29 AM,Thursday,13,03/26/2015 01:57:52 PM,Keep The Peace,711125409,Keep The Peace,41.476907,"{'type': 'Point', 'coordinates': [-112.01676, 41.476907]}",-112.01676,Disorder,UT,05/25/2015 12:31:15 PM,84302
348,1800 Block S 100 W,15-P00327,PERRY,,03/30/2015 09:10:26 AM,Sunday,11,03/29/2015 11:36:17 AM,Keep The Peace,711309568,Keep The Peace,41.476907,"{'type': 'Point', 'coordinates': [-112.01676, 41.476907]}",-112.01676,Disorder,UT,05/28/2015 12:32:23 PM,84302
349,3000 Block S PERRY ST,15-P00307,PERRY,,03/31/2015 09:10:28 AM,Thursday,12,03/26/2015 12:17:54 PM,Fraud,711401093,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,05/25/2015 12:31:15 PM,84302
350,1200 Block S COMMERCE WAY,15-P00329,PERRY,,03/30/2015 09:10:26 AM,Sunday,17,03/29/2015 05:57:57 PM,Theft,711309570,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/28/2015 12:32:23 PM,84302
351,1900 Block S US 89,15-P00330,PERRY,,03/31/2015 09:10:28 AM,Monday,10,03/30/2015 10:04:25 AM,Family Fight,711401094,Family Fight,41.4755769,"{'type': 'Point', 'coordinates': [-112.0247161, 41.4755769]}",-112.0247161,Family Offense,UT,05/29/2015 12:33:53 PM,84302
352,1200 Block S COMMERCE WAY,15-P00338,PERRY,,04/02/2015 09:10:30 AM,Wednesday,10,04/01/2015 10:14:48 AM,Theft,711584889,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/31/2015 12:31:30 PM,84302
353,1 Block S 1000 W,15-P00339,BRIGHAM CITY,,04/02/2015 09:10:30 AM,Wednesday,12,04/01/2015 12:51:41 PM,Simple Assault,711584890,Simple Assault,41.5091187,"{'type': 'Point', 'coordinates': [-112.0353833, 41.5091187]}",-112.0353833,Assault,UT,04/02/2015 12:33:17 PM,84302
354,1200 Block S COMMERCE WAY,15-P00292,PERRY,,04/05/2015 12:35:34 PM,Sunday,17,03/22/2015 05:39:16 PM,Theft,711800550,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/21/2015 12:31:18 PM,84302
355,2200 Block S LINDA WAY,15-P00346,PERRY,,04/03/2015 09:10:36 AM,Thursday,16,04/02/2015 04:09:23 PM,Family Fight,711660563,Family Fight,41.469656,"{'type': 'Point', 'coordinates': [-112.035092, 41.469656]}",-112.035092,Family Offense,UT,06/01/2015 12:32:07 PM,84302
356,2900 Block S PERRY ST,15-P00364,PERRY,,04/11/2015 09:10:43 AM,Friday,8,04/10/2015 08:09:55 AM,Theft Automobil,712492969,Theft Automobil,41.4570239,"{'type': 'Point', 'coordinates': [-112.044819, 41.4570239]}",-112.044819,Theft of Vehicle,UT,06/09/2015 12:31:17 PM,84302
357,900 Block W 2390 S,15-P00366,PERRY,,04/11/2015 09:10:43 AM,Friday,17,04/10/2015 05:52:36 PM,Fraud,712492971,fraud,41.466731,"{'type': 'Point', 'coordinates': [-112.036777, 41.466731]}",-112.036777,Theft,UT,06/09/2015 12:31:17 PM,84302
